,,,,,,,,,,
,Date,Category A,Customer,Qty Sold,Revenue,Quarter,,,,
0,10/1/2017,A,2,18,"4,058,699",2017Q4,,,,
1,10/1/2017,A,1,29,"13,178,000",2017Q4,,,,
2,10/2/2017,A,1,55,"23,493,200",2017Q4,,,,
3,10/2/2017,A,2,30,"6,540,835",2017Q4,,,,
4,10/3/2017,A,2,25,"5,888,624",2017Q4,,,,
5,10/3/2017,A,1,52,"23,179,200",2017Q4,,,,
6,10/4/2017,A,2,23,"5,918,669",2017Q4,,,,
7,10/4/2017,A,1,54,"21,963,850",2017Q4,,,,
8,10/5/2017,A,2,31,"5,427,120",2017Q4,,,,
9,10/5/2017,A,1,50,"21,548,800",2017Q4,,,,
10,10/6/2017,A,2,26,"5,297,065",2017Q4,,,,
11,10/6/2017,A,1,48,"21,243,660",2017Q4,,,,
12,10/7/2017,A,1,37,"15,524,450",2017Q4,,,,
13,10/7/2017,A,2,23,"5,306,216",2017Q4,,,,
14,10/8/2017,A,2,21,"5,501,350",2017Q4,,,,
15,10/8/2017,A,1,35,"15,520,650",2017Q4,,,,
16,10/9/2017,A,1,45,"17,922,500",2017Q4,,,,
17,10/9/2017,A,2,32,"9,359,720",2017Q4,,,,
18,10/10/2017,A,1,52,"23,355,500",2017Q4,,,,
19,10/10/2017,A,2,35,"9,595,540",2017Q4,,,,
20,10/11/2017,A,1,50,"25,560,600",2017Q4,,,,
21,10/11/2017,A,2,34,"6,929,720",2017Q4,,,,
22,10/12/2017,A,1,54,"26,305,041",2017Q4,,,,
23,10/12/2017,A,2,38,"7,819,551",2017Q4,,,,
24,10/13/2017,A,1,36,"14,803,400",2017Q4,,,,
25,10/13/2017,A,2,30,"5,960,875",2017Q4,,,,
26,10/14/2017,A,2,20,"5,113,984",2017Q4,,,,
27,10/14/2017,A,1,25,"9,637,100",2017Q4,,,,
28,10/15/2017,A,1,22,"8,303,450",2017Q4,,,,
29,10/15/2017,A,2,26,"6,659,747",2017Q4,,,,
30,10/16/2017,A,2,31,"6,409,097",2017Q4,,,,
31,10/16/2017,A,1,36,"14,803,700",2017Q4,,,,
32,10/17/2017,A,1,37,"17,157,438",2017Q4,,,,
33,10/17/2017,A,2,30,"7,029,152",2017Q4,,,,
34,10/18/2017,A,2,27,"5,480,885",2017Q4,,,,
35,10/18/2017,A,1,39,"21,768,000",2017Q4,,,,
36,10/19/2017,A,1,32,"13,378,850",2017Q4,,,,
37,10/19/2017,A,2,25,"5,384,914",2017Q4,,,,
38,10/20/2017,A,2,23,"4,404,567",2017Q4,,,,
39,10/20/2017,A,1,31,"15,650,400",2017Q4,,,,
40,10/21/2017,A,1,23,"10,782,200",2017Q4,,,,
41,10/21/2017,A,2,25,"8,272,770",2017Q4,,,,
42,10/22/2017,A,2,24,"5,095,875",2017Q4,,,,
43,10/22/2017,A,1,21,"7,103,400",2017Q4,,,,
44,10/23/2017,A,1,46,"21,054,300",2017Q4,,,,
45,10/23/2017,A,2,38,"9,577,250",2017Q4,,,,
46,10/24/2017,A,1,60,"30,233,470",2017Q4,,,,
47,10/24/2017,A,2,36,"8,234,759",2017Q4,,,,
48,10/25/2017,A,1,57,"29,676,110",2017Q4,,,,
49,10/25/2017,A,2,37,"8,142,347",2017Q4,,,,
50,10/26/2017,A,2,32,"5,069,398",2017Q4,,,,
51,10/26/2017,A,1,47,"24,377,610",2017Q4,,,,
52,10/27/2017,A,1,43,"22,052,100",2017Q4,,,,
53,10/27/2017,A,2,31,"6,568,761",2017Q4,,,,
54,10/28/2017,A,2,22,"4,285,845",2017Q4,,,,
55,10/28/2017,A,1,27,"11,523,200",2017Q4,,,,
56,10/29/2017,A,2,22,"5,237,076",2017Q4,,,,
57,10/29/2017,A,1,29,"13,381,200",2017Q4,,,,
58,10/30/2017,A,2,39,"7,118,788",2017Q4,,,,
59,10/30/2017,A,1,48,"20,948,800",2017Q4,,,,
60,10/31/2017,A,2,40,"8,274,825",2017Q4,,,,
61,10/31/2017,A,1,52,"26,890,900",2017Q4,,,,
62,11/1/2017,A,2,35,"6,764,265",2017Q4,,,,
63,11/1/2017,A,1,34,"15,807,060",2017Q4,,,,
64,11/2/2017,A,2,35,"7,040,528",2017Q4,,,,
65,11/2/2017,A,1,38,"21,122,600",2017Q4,,,,
66,11/3/2017,A,2,29,"7,843,352",2017Q4,,,,
67,11/3/2017,A,1,29,"14,791,000",2017Q4,,,,
68,11/4/2017,A,1,23,"10,588,900",2017Q4,,,,
69,11/4/2017,A,2,23,"5,136,131",2017Q4,,,,
70,11/5/2017,A,1,22,"9,058,500",2017Q4,,,,
71,11/5/2017,A,2,23,"4,592,324",2017Q4,,,,
72,11/6/2017,A,1,45,"18,603,650",2017Q4,,,,
73,11/6/2017,A,2,38,"8,890,693",2017Q4,,,,
74,11/7/2017,A,1,39,"19,104,360",2017Q4,,,,
75,11/7/2017,A,2,33,"6,972,982",2017Q4,,,,
